,user,user_rt,weight,idd
0,Jessica38796289,sanchezcastejon,1313,1339587082193260546
1,Maritza09725361,Camila_RojasV,892,1339622767516397574
2,costas_montes,JOSEMANUELSOTO1,802,1339490975681536000
3,CorVas2,anaalonsogonza1,48,1339685644533194752
4,pablxmp,sanchezcastejon,1313,1339587082193260546
5,guactecl,vladomirosevic,90,1339597662861942790
6,ManuelDurnTorr1,pardodevera,516,1339584714064056324
7,Linachan87,AnitaBotwin,55,1339676696723767296
8,manulama56,ramonlobo,742,1339607957810528256
9,villaragro,JOSEMANUELSOTO1,802,1339490975681536000
10,bhdilan,Camila_RojasV,892,1339622767516397574
11,JohnMChristo,sanchezcastejon,1313,1339587082193260546
12,FCOJAVIERGZALEZ,abalosmeco,216,1339604490815680512
13,mariajosedjl,abalosmeco,216,1339604490815680512
14,PsoeGranada,inmaoria,7,1339693072561672192
15,Claudia91120690,Camila_RojasV,892,1339622767516397574
16,Jgarrid25453818,gpscongreso,79,1339540596105441288
17,Sarpullido3,sanchezcastejon,1313,1339587082193260546
18,mayterivas_vigo,RuizdePinedo,21,1339633490174881793
19,Yesuaheljudio,MichelMontaner,40,1339618591990280192
20,LGS1972,JOSEMANUELSOTO1,802,1339490975681536000
21,Maitenadal,RRdelaSerna,4,1339685777249320962
22,virario3,supernova_2020,28,1339624328938332161
23,mirenlarrion,RuizdePinedo,44,1339578569182203905
24,agcalderon1508,ramonlobo,742,1339607957810528256
25,BermeFer,judit_sinhache,12,1339654056755736577
26,LuisJavierSanj2,Jccampm,71,1339612492754989058
27,Mara58130952,diostuitero,541,1339586935594000392
28,TamaraCasado_V,ale_injoque,4,1339696149985452032
29,mruiz_gema,sanchezcastejon,1313,1339587082193260546
30,mruiz_gema,salvadorilla,363,1339623840998170624
31,MumBronte,Licualopodo,9,1339558888165830656
32,Vox_Melilla,TasendeMiguel,1,1339695289029046273
33,gcvvega,vladomirosevic,12,1339695414203863040
34,ardna_jela,Defensoria_Peru,77,1339624586380455936
